edge_axis-x,edge_axis-y
120,31
121,31
122,31
123,31
124,31
125,31
126,31
127,31
128,31
129,31
130,31
131,31
132,31
133,31
134,31
135,31
136,31
137,31
138,31
139,31
140,31
141,31
142,31
143,31
113,32
114,32
115,32
116,32
117,32
118,32
119,32
144,32
145,32
146,32
147,32
148,32
149,32
150,32
107,33
108,33
109,33
110,33
111,33
112,33
151,33
152,33
153,33
154,33
155,33
156,33
157,33
102,34
103,34
104,34
105,34
106,34
158,34
159,34
160,34
161,34
99,35
100,35
101,35
162,35
163,35
164,35
96,36
97,36
98,36
165,36
166,36
167,36
93,37
94,37
95,37
168,37
169,37
170,37
90,38
91,38
92,38
171,38
172,38
173,38
174,38
86,39
87,39
88,39
89,39
175,39
176,39
177,39
85,40
86,40
177,40
178,40
179,40
82,41
83,41
84,41
179,41
180,41
181,41
79,42
80,42
81,42
182,42
183,42
184,42
78,43
79,43
184,43
185,43
75,44
76,44
77,44
78,44
186,44
187,44
188,44
74,45
75,45
188,45
189,45
190,45
72,46
73,46
74,46
190,46
191,46
70,47
71,47
72,47
191,47
192,47
193,47
69,48
70,48
193,48
194,48
67,49
68,49
69,49
194,49
195,49
66,50
67,50
195,50
196,50
197,50
64,51
65,51
66,51
197,51
198,51
63,52
64,52
198,52
199,52
61,53
62,53
63,53
199,53
200,53
201,53
60,54
61,54
201,54
202,54
58,55
59,55
60,55
202,55
203,55
204,55
57,56
58,56
204,56
205,56
56,57
57,57
205,57
206,57
55,58
56,58
206,58
207,58
54,59
207,59
208,59
209,59
52,60
53,60
54,60
209,60
210,60
51,61
52,61
210,61
211,61
50,62
51,62
211,62
212,62
49,63
50,63
212,63
213,63
48,64
49,64
213,64
214,64
47,65
48,65
214,65
215,65
46,66
47,66
215,66
216,66
45,67
46,67
216,67
217,67
44,68
45,68
217,68
218,68
43,69
44,69
218,69
219,69
42,70
43,70
219,70
220,70
41,71
42,71
220,71
221,71
40,72
41,72
221,72
222,72
39,73
40,73
222,73
223,73
38,74
39,74
223,74
224,74
38,75
224,75
37,76
38,76
224,76
225,76
36,77
37,77
225,77
226,77
35,78
36,78
226,78
227,78
35,79
227,79
34,80
35,80
227,80
228,80
33,81
34,81
228,81
229,81
33,82
229,82
32,83
33,83
229,83
230,83
31,84
32,84
230,84
231,84
31,85
231,85
30,86
31,86
231,86
232,86
29,87
30,87
232,87
29,88
232,88
233,88
28,89
29,89
233,89
234,89
28,90
234,90
27,91
28,91
234,91
235,91
26,92
27,92
235,92
26,93
235,93
236,93
25,94
26,94
236,94
25,95
236,95
237,95
24,96
25,96
237,96
24,97
237,97
238,97
23,98
24,98
238,98
23,99
238,99
239,99
22,100
23,100
239,100
22,101
239,101
240,101
22,102
240,102
21,103
240,103
21,104
241,104
20,105
21,105
241,105
20,106
241,106
20,107
242,107
20,108
242,108
19,109
243,109
19,110
243,110
19,111
243,111
19,112
243,112
18,113
244,113
18,114
244,114
18,115
244,115
17,116
245,116
17,117
245,117
17,118
245,118
16,119
245,119
16,120
245,120
16,121
246,121
16,122
246,122
16,123
246,123
16,124
246,124
16,125
246,125
15,126
247,126
15,127
247,127
15,128
247,128
15,129
247,129
15,130
247,130
14,131
247,131
14,132
247,132
14,133
248,133
14,134
248,134
14,135
248,135
14,136
248,136
14,137
125,137
126,137
127,137
128,137
129,137
130,137
248,137
14,138
83,138
84,138
85,138
86,138
87,138
88,138
89,138
90,138
91,138
92,138
93,138
94,138
95,138
96,138
97,138
98,138
99,138
100,138
101,138
102,138
103,138
104,138
105,138
106,138
107,138
108,138
109,138
110,138
111,138
112,138
113,138
114,138
115,138
116,138
117,138
118,138
119,138
120,138
121,138
122,138
123,138
124,138
131,138
132,138
133,138
134,138
135,138
136,138
137,138
138,138
139,138
140,138
141,138
142,138
143,138
144,138
145,138
146,138
147,138
148,138
149,138
150,138
151,138
152,138
153,138
154,138
155,138
156,138
157,138
158,138
159,138
160,138
161,138
162,138
163,138
164,138
165,138
166,138
167,138
168,138
169,138
170,138
171,138
172,138
248,138
14,139
82,139
83,139
173,139
174,139
175,139
248,139
14,140
81,140
82,140
175,140
248,140
14,141
81,141
175,141
248,141
14,142
81,142
176,142
248,142
14,143
81,143
176,143
248,143
14,144
81,144
176,144
248,144
14,145
81,145
176,145
248,145
14,146
81,146
176,146
248,146
14,147
81,147
176,147
248,147
14,148
81,148
176,148
248,148
14,149
81,149
176,149
248,149
14,150
81,150
176,150
248,150
14,151
81,151
176,151
248,151
14,152
81,152
176,152
248,152
14,153
82,153
175,153
248,153
14,154
82,154
175,154
248,154
14,155
82,155
175,155
247,155
14,156
82,156
175,156
247,156
14,157
82,157
175,157
248,157
14,158
82,158
175,158
248,158
14,159
82,159
175,159
248,159
13,160
14,160
82,160
175,160
248,160
13,161
82,161
175,161
248,161
82,162
175,162
247,162
248,162
0,163
1,163
2,163
3,163
4,163
5,163
6,163
7,163
8,163
9,163
10,163
11,163
12,163
13,163
82,163
174,163
248,163
82,164
174,164
82,165
174,165
82,166
173,166
174,166
82,167
83,167
84,167
85,167
86,167
87,167
88,167
89,167
90,167
91,167
92,167
93,167
94,167
95,167
96,167
97,167
98,167
99,167
100,167
101,167
102,167
103,167
104,167
105,167
106,167
107,167
108,167
109,167
110,167
111,167
112,167
113,167
114,167
115,167
116,167
117,167
118,167
119,167
120,167
121,167
122,167
123,167
124,167
125,167
126,167
127,167
128,167
129,167
130,167
131,167
132,167
133,167
134,167
135,167
136,167
137,167
138,167
139,167
140,167
141,167
142,167
143,167
144,167
145,167
146,167
147,167
148,167
149,167
150,167
151,167
152,167
153,167
154,167
155,167
156,167
157,167
158,167
159,167
160,167
161,167
162,167
163,167
164,167
165,167
166,167
167,167
168,167
169,167
170,167
173,167
173,168
174,168
173,169
173,170
172,171
173,171
