edge_axis-x,edge_axis-y,X1,Y1,X2,Y2,conner_axis-X,conner_axis-Y
33,120,85.0,140.0,174.0,140.0,14.0,148.0
33,121,57.0,60.0,66.0,52.0,218.0,68.0
33,122,190.0,46.0,203.0,57.0,14.0,159.0
33,123,211.0,62.0,225.0,76.0,25.0,97.0
33,124,202.0,55.0,207.0,60.0,61.0,55.0
33,125,17.0,124.0,17.0,122.0,190.0,46.0
33,126,36.0,80.0,57.0,59.0,14.0,148.0
33,127,98.0,38.0,104.0,36.0,218.0,68.0
33,128,20.0,113.0,23.0,102.0,14.0,159.0
33,129,225.0,78.0,230.0,83.0,25.0,97.0
33,130,67.0,52.0,69.0,51.0,61.0,55.0
33,131,15.0,163.0,15.0,131.0,190.0,46.0
33,132,126.0,33.0,144.0,33.0,14.0,148.0
33,133,83.0,169.0,83.0,150.0,218.0,68.0
33,134,177.0,142.0,177.0,161.0,14.0,159.0
33,135,70.0,50.0,84.0,43.0,25.0,97.0
33,136,176.0,41.0,186.0,45.0,61.0,55.0
33,137,159.0,36.0,161.0,36.0,190.0,46.0
33,138,24.0,100.0,28.0,94.0,14.0,148.0
33,139,29.0,91.0,39.0,78.0,218.0,68.0
33,140,205.0,57.0,215.0,67.0,14.0,159.0
33,141,85.0,140.0,174.0,140.0,25.0,97.0
33,142,57.0,60.0,66.0,52.0,61.0,55.0
33,143,190.0,46.0,203.0,57.0,190.0,46.0
33,144,211.0,62.0,225.0,76.0,14.0,148.0
33,145,202.0,55.0,207.0,60.0,218.0,68.0
34,113,17.0,124.0,17.0,122.0,14.0,159.0
34,114,36.0,80.0,57.0,59.0,25.0,97.0
34,115,98.0,38.0,104.0,36.0,61.0,55.0
34,116,20.0,113.0,23.0,102.0,190.0,46.0
34,117,225.0,78.0,230.0,83.0,14.0,148.0
34,118,67.0,52.0,69.0,51.0,218.0,68.0
34,119,15.0,163.0,15.0,131.0,14.0,159.0
34,146,126.0,33.0,144.0,33.0,25.0,97.0
34,147,83.0,169.0,83.0,150.0,61.0,55.0
34,148,177.0,142.0,177.0,161.0,190.0,46.0
34,149,70.0,50.0,84.0,43.0,14.0,148.0
34,150,176.0,41.0,186.0,45.0,218.0,68.0
34,151,159.0,36.0,161.0,36.0,14.0,159.0
35,107,24.0,100.0,28.0,94.0,25.0,97.0
35,108,29.0,91.0,39.0,78.0,61.0,55.0
35,109,205.0,57.0,215.0,67.0,190.0,46.0
35,110,85.0,140.0,174.0,140.0,14.0,148.0
35,111,57.0,60.0,66.0,52.0,218.0,68.0
35,112,190.0,46.0,203.0,57.0,14.0,159.0
35,152,211.0,62.0,225.0,76.0,25.0,97.0
35,153,202.0,55.0,207.0,60.0,61.0,55.0
35,154,17.0,124.0,17.0,122.0,190.0,46.0
35,155,36.0,80.0,57.0,59.0,14.0,148.0
35,156,98.0,38.0,104.0,36.0,218.0,68.0
35,157,20.0,113.0,23.0,102.0,14.0,159.0
35,158,225.0,78.0,230.0,83.0,25.0,97.0
36,102,67.0,52.0,69.0,51.0,61.0,55.0
36,103,15.0,163.0,15.0,131.0,190.0,46.0
36,104,126.0,33.0,144.0,33.0,14.0,148.0
36,105,83.0,169.0,83.0,150.0,218.0,68.0
36,106,177.0,142.0,177.0,161.0,14.0,159.0
36,159,70.0,50.0,84.0,43.0,25.0,97.0
36,160,176.0,41.0,186.0,45.0,61.0,55.0
36,161,159.0,36.0,161.0,36.0,190.0,46.0
36,162,24.0,100.0,28.0,94.0,14.0,148.0
36,163,29.0,91.0,39.0,78.0,218.0,68.0
37,100,205.0,57.0,215.0,67.0,14.0,159.0
37,101,85.0,140.0,174.0,140.0,25.0,97.0
37,164,57.0,60.0,66.0,52.0,61.0,55.0
37,165,190.0,46.0,203.0,57.0,190.0,46.0
38,96,211.0,62.0,225.0,76.0,14.0,148.0
38,97,202.0,55.0,207.0,60.0,218.0,68.0
38,98,17.0,124.0,17.0,122.0,14.0,159.0
38,99,36.0,80.0,57.0,59.0,25.0,97.0
38,166,98.0,38.0,104.0,36.0,61.0,55.0
38,167,20.0,113.0,23.0,102.0,190.0,46.0
38,168,225.0,78.0,230.0,83.0,14.0,148.0
38,169,67.0,52.0,69.0,51.0,218.0,68.0
39,93,15.0,163.0,15.0,131.0,14.0,159.0
39,94,126.0,33.0,144.0,33.0,25.0,97.0
39,95,83.0,169.0,83.0,150.0,61.0,55.0
39,170,177.0,142.0,177.0,161.0,190.0,46.0
39,171,70.0,50.0,84.0,43.0,14.0,148.0
39,172,176.0,41.0,186.0,45.0,218.0,68.0
40,91,159.0,36.0,161.0,36.0,14.0,159.0
40,92,24.0,100.0,28.0,94.0,25.0,97.0
40,173,29.0,91.0,39.0,78.0,61.0,55.0
40,174,205.0,57.0,215.0,67.0,190.0,46.0
40,175,85.0,140.0,174.0,140.0,14.0,148.0
41,87,57.0,60.0,66.0,52.0,218.0,68.0
41,88,190.0,46.0,203.0,57.0,14.0,159.0
41,89,211.0,62.0,225.0,76.0,25.0,97.0
41,90,202.0,55.0,207.0,60.0,61.0,55.0
41,176,17.0,124.0,17.0,122.0,190.0,46.0
41,177,36.0,80.0,57.0,59.0,14.0,148.0
41,178,98.0,38.0,104.0,36.0,218.0,68.0
42,86,20.0,113.0,23.0,102.0,14.0,159.0
42,87,225.0,78.0,230.0,83.0,25.0,97.0
42,178,67.0,52.0,69.0,51.0,61.0,55.0
42,179,15.0,163.0,15.0,131.0,190.0,46.0
42,180,126.0,33.0,144.0,33.0,14.0,148.0
43,83,83.0,169.0,83.0,150.0,218.0,68.0
43,84,177.0,142.0,177.0,161.0,14.0,159.0
43,85,70.0,50.0,84.0,43.0,25.0,97.0
43,86,176.0,41.0,186.0,45.0,61.0,55.0
43,180,159.0,36.0,161.0,36.0,190.0,46.0
43,181,24.0,100.0,28.0,94.0,14.0,148.0
43,182,29.0,91.0,39.0,78.0,218.0,68.0
44,80,205.0,57.0,215.0,67.0,14.0,159.0
44,81,85.0,140.0,174.0,140.0,25.0,97.0
44,82,57.0,60.0,66.0,52.0,61.0,55.0
44,183,190.0,46.0,203.0,57.0,190.0,46.0
44,184,211.0,62.0,225.0,76.0,14.0,148.0
44,185,202.0,55.0,207.0,60.0,218.0,68.0
45,79,17.0,124.0,17.0,122.0,14.0,159.0
45,80,36.0,80.0,57.0,59.0,25.0,97.0
45,185,98.0,38.0,104.0,36.0,61.0,55.0
45,186,20.0,113.0,23.0,102.0,190.0,46.0
46,76,225.0,78.0,230.0,83.0,14.0,148.0
46,77,67.0,52.0,69.0,51.0,218.0,68.0
46,78,15.0,163.0,15.0,131.0,14.0,159.0
46,187,126.0,33.0,144.0,33.0,25.0,97.0
46,188,83.0,169.0,83.0,150.0,61.0,55.0
46,189,177.0,142.0,177.0,161.0,190.0,46.0
46,190,70.0,50.0,84.0,43.0,14.0,148.0
47,75,176.0,41.0,186.0,45.0,218.0,68.0
47,76,159.0,36.0,161.0,36.0,14.0,159.0
47,190,24.0,100.0,28.0,94.0,25.0,97.0
47,191,29.0,91.0,39.0,78.0,61.0,55.0
48,73,205.0,57.0,215.0,67.0,190.0,46.0
48,74,85.0,140.0,174.0,140.0,14.0,148.0
48,75,57.0,60.0,66.0,52.0,218.0,68.0
48,191,190.0,46.0,203.0,57.0,14.0,159.0
48,192,211.0,62.0,225.0,76.0,25.0,97.0
48,193,202.0,55.0,207.0,60.0,61.0,55.0
49,71,17.0,124.0,17.0,122.0,190.0,46.0
49,72,36.0,80.0,57.0,59.0,14.0,148.0
49,193,98.0,38.0,104.0,36.0,218.0,68.0
49,194,20.0,113.0,23.0,102.0,14.0,159.0
50,69,225.0,78.0,230.0,83.0,25.0,97.0
50,70,67.0,52.0,69.0,51.0,61.0,55.0
50,71,15.0,163.0,15.0,131.0,190.0,46.0
50,194,126.0,33.0,144.0,33.0,14.0,148.0
50,195,83.0,169.0,83.0,150.0,218.0,68.0
51,68,177.0,142.0,177.0,161.0,14.0,159.0
51,69,70.0,50.0,84.0,43.0,25.0,97.0
51,195,176.0,41.0,186.0,45.0,61.0,55.0
51,196,159.0,36.0,161.0,36.0,190.0,46.0
52,66,24.0,100.0,28.0,94.0,14.0,148.0
52,67,29.0,91.0,39.0,78.0,218.0,68.0
52,68,205.0,57.0,215.0,67.0,14.0,159.0
52,196,85.0,140.0,174.0,140.0,25.0,97.0
52,197,57.0,60.0,66.0,52.0,61.0,55.0
52,198,190.0,46.0,203.0,57.0,190.0,46.0
53,65,211.0,62.0,225.0,76.0,14.0,148.0
